id,status,bikes,docks,month,day,hours,minutes
1,0,19,17,10,6,22,19
1,1,15,21,10,7,0,34
1,1,11,25,10,7,3,59
1,1,28,8,10,7,7,9
1,1,14,22,10,7,6,29
1,1,18,18,10,7,6,39
1,1,30,6,10,7,9,39
1,1,22,14,10,7,12,39
1,1,22,14,10,7,13,9
1,1,19,17,10,7,15,59
1,1,1,35,10,7,18,44
1,1,0,36,10,7,21,54
1,1,0,36,10,7,21,34
1,1,0,36,10,8,0,44
1,1,0,36,10,8,3,59
1,1,0,36,10,8,3,39
1,1,10,26,10,8,6,54
1,1,4,32,10,8,6,24
1,1,16,20,10,8,9,24
1,1,16,20,10,8,9,34
1,1,17,19,10,8,9,59
1,1,16,20,10,8,9,44
1,1,17,19,10,8,9,49
1,1,16,20,10,8,9,39
1,1,13,23,10,8,12,24
1,1,13,23,10,8,12,54
1,1,11,25,10,8,15,29
1,1,10,26,10,8,15,34
1,1,15,21,10,8,15,19
1,1,0,36,10,8,18,54
1,1,0,36,10,8,18,44
1,1,0,36,10,8,21,44
1,1,0,36,10,8,21,19
1,1,0,36,10,8,21,29
1,1,0,36,10,8,21,54
1,1,0,36,10,9,0,29
1,1,0,36,10,9,0,34
1,1,0,36,10,9,0,44
1,1,13,23,10,9,6,34
1,1,16,20,10,9,6,44
1,1,14,22,10,9,6,39
1,1,13,23,10,9,6,19
1,1,23,13,10,9,9,34
1,1,23,13,10,9,9,44
1,1,23,13,10,9,9,24
1,1,23,13,10,9,9,9
1,1,21,15,10,9,12,49
1,1,20,16,10,9,12,14
1,1,20,16,10,9,12,24
1,1,20,16,10,9,12,19
1,1,13,23,10,9,15,39
1,1,0,36,10,9,18,4
1,1,0,36,10,10,0,34
1,1,0,36,10,9,23,59
1,1,0,36,10,10,0,4
1,1,0,36,10,10,3,9
1,1,8,28,10,10,6,14
1,1,20,16,10,10,8,49
1,1,20,16,10,10,9,9
1,1,19,17,10,10,12,9
1,1,17,19,10,10,14,44
1,1,17,19,10,10,14,49
1,1,17,19,10,10,14,39
1,1,0,36,10,10,17,59
1,1,0,36,10,10,17,44
1,1,0,36,10,10,23,29
1,1,0,36,10,11,3,4
1,1,0,36,10,11,2,29
1,1,0,36,10,11,3,9
1,1,0,36,10,11,2,54
1,1,12,24,10,11,6,4
1,1,8,28,10,11,5,29
1,1,9,27,10,11,5,34
1,1,31,5,10,11,8,19
1,1,28,8,10,11,11,14
1,1,30,6,10,11,11,39
1,1,28,8,10,11,11,19
1,1,19,17,10,11,14,44
1,1,14,22,10,11,16,59
1,1,13,23,10,11,17,9
1,1,10,26,10,11,20,39
1,1,11,25,10,11,20,14
1,1,4,32,10,11,23,34
1,1,5,31,10,11,23,9
1,1,4,32,10,11,23,19
1,1,5,31,10,11,23,4
1,1,3,33,10,12,2,9
1,1,5,31,10,12,2,34
1,1,5,31,10,12,5,29
1,1,5,31,10,12,5,14
1,1,10,26,10,12,8,24
1,1,10,26,10,12,8,14
1,1,12,24,10,12,7,59
1,1,10,26,10,12,11,24
1,1,10,26,10,12,11,29
1,1,10,26,10,12,10,59
1,1,10,26,10,12,14,4
1,1,10,26,10,12,13,54
1,1,10,26,10,12,14,29
1,1,6,30,10,12,16,44
1,1,6,30,10,12,17,9
1,1,6,30,10,12,16,59
1,1,6,30,10,12,16,49
1,1,5,31,10,12,19,54
1,1,5,31,10,12,20,24
1,1,5,31,10,12,20,19
1,1,8,28,10,13,2,14
1,1,8,28,10,13,4,39
1,1,8,28,10,13,4,54
1,1,6,30,10,13,11,14
